OPERATOR,ADJUSTED_ONTIME_COUNT,ADJUSTED_EARLY_COUNT,ADJUSTED_LATE_COUNT,Total_Trips,OnTime_Pct,Early_Pct,Late_Pct,Performance_Category
2765,1069,64,395,1528,69.9607329842932,4.18848167539267,25.850785340314136,Below Average
2618,58,2,23,83,69.87951807228916,2.4096385542168677,27.710843373493976,Below Average
907,412,62,117,591,69.7123519458545,10.490693739424705,19.796954314720814,Below Average
1730,460,181,20,661,69.59152798789712,27.382753403933435,3.0257186081694405,Below Average
3099,605,103,162,870,69.54022988505747,11.839080459770116,18.620689655172416,Below Average
1889,141,0,62,203,69.45812807881774,0.0,30.541871921182267,Below Average
1206,783,9,337,1129,69.35341009743135,0.7971656333038087,29.849424269264833,Below Average
2962,532,4,232,768,69.27083333333334,0.5208333333333333,30.208333333333332,Below Average
3088,189,2,82,273,69.23076923076923,0.7326007326007326,30.036630036630036,Below Average
1845,37,0,17,54,68.51851851851852,0.0,31.48148148148148,Below Average
2423,37,1,16,54,68.51851851851852,1.8518518518518516,29.629629629629626,Below Average
2546,118,3,52,173,68.20809248554913,1.7341040462427744,30.057803468208093,Below Average
653,131,0,64,195,67.17948717948717,0.0,32.82051282051282,Below Average
1880,51,2,23,76,67.10526315789474,2.631578947368421,30.263157894736842,Below Average
2560,731,25,346,1102,66.33393829401089,2.268602540834846,31.397459165154263,Below Average
2751,396,37,169,602,65.78073089700996,6.146179401993355,28.07308970099668,Below Average
3128,519,23,249,791,65.61314791403287,2.9077117572692797,31.479140328697852,Below Average
2428,315,11,155,481,65.48856548856548,2.2869022869022873,32.224532224532226,Below Average
2943,261,10,128,399,65.41353383458647,2.506265664160401,32.08020050125313,Below Average
3140,548,12,286,846,64.77541371158392,1.4184397163120568,33.80614657210402,Below Average
2530,44,0,24,68,64.70588235294117,0.0,35.294117647058826,Below Average
3144,427,65,171,663,64.40422322775264,9.803921568627452,25.791855203619914,Below Average
3087,861,23,473,1357,63.448784082535006,1.694915254237288,34.85630066322771,Below Average
2817,425,65,183,673,63.15007429420505,9.658246656760774,27.191679049034175,Below Average
1204,1336,15,767,2118,63.078375826251175,0.708215297450425,36.213408876298395,Below Average
2306,782,49,415,1246,62.76083467094703,3.932584269662921,33.30658105939005,Below Average
1593,776,25,438,1239,62.631154156577885,2.0177562550443904,35.351089588377725,Below Average
1958,807,12,486,1305,61.839080459770116,0.9195402298850575,37.24137931034483,Below Average
1922,69,0,43,112,61.60714285714286,0.0,38.392857142857146,Below Average
3013,801,45,456,1302,61.52073732718893,3.4562211981566824,35.02304147465438,Below Average
2362,384,19,226,629,61.04928457869634,3.0206677265500796,35.930047694753576,Below Average
2577,227,6,142,375,60.53333333333333,1.6,37.86666666666667,Below Average
3093,488,20,307,815,59.87730061349693,2.4539877300613497,37.668711656441715,Below Average
2694,280,38,150,468,59.82905982905983,8.11965811965812,32.05128205128205,Below Average
1359,922,81,545,1548,59.56072351421189,5.232558139534884,35.20671834625323,Below Average
3064,1113,22,750,1885,59.04509283819629,1.16710875331565,39.787798408488065,Below Average
2082,1028,7,724,1759,58.44229675952246,0.3979533826037522,41.15974985787379,Below Average
2356,820,16,572,1408,58.23863636363637,1.1363636363636365,40.625,Below Average
2779,85,1,60,146,58.21917808219178,0.684931506849315,41.0958904109589,Below Average
1277,795,12,568,1375,57.81818181818181,0.8727272727272728,41.309090909090905,Below Average
2600,169,11,113,293,57.67918088737202,3.754266211604096,38.56655290102389,Below Average
2102,398,23,271,692,57.51445086705203,3.3236994219653178,39.16184971098266,Below Average
1352,954,11,728,1693,56.34967513290018,0.6497341996455995,43.000590667454226,Below Average
2531,358,6,275,639,56.02503912363067,0.9389671361502347,43.03599374021909,Below Average
2954,467,28,344,839,55.661501787842674,3.3373063170441,41.00119189511323,Below Average
2585,430,15,333,778,55.26992287917738,1.9280205655526992,42.80205655526992,Below Average
357,866,35,683,1584,54.67171717171717,2.20959595959596,43.118686868686865,Below Average
2109,1139,18,936,2093,54.41949354992833,0.8600095556617295,44.72049689440994,Below Average
1938,38,7,26,71,53.52112676056338,9.859154929577464,36.61971830985916,Below Average
2783,706,54,595,1355,52.103321033210335,3.985239852398524,43.91143911439114,Below Average
2747,232,26,211,469,49.46695095948827,5.543710021321962,44.989339019189764,Below Average
1800,789,26,810,1625,48.55384615384615,1.6,49.84615384615385,Below Average
3120,326,42,319,687,47.45269286754003,6.11353711790393,46.43377001455604,Below Average
1904,429,16,461,906,47.35099337748344,1.7660044150110374,50.88300220750553,Below Average
2714,323,12,380,715,45.17482517482517,1.6783216783216783,53.14685314685315,Below Average
3101,579,19,699,1297,44.64148033924441,1.4649190439475714,53.89360061680802,Below Average
2312,582,16,714,1312,44.359756097560975,1.2195121951219512,54.420731707317074,Below Average
3098,199,7,251,457,43.544857768052516,1.5317286652078774,54.92341356673961,Below Average
3096,427,41,534,1002,42.61477045908183,4.091816367265469,53.293413173652695,Below Average
1016,51,0,87,138,36.95652173913043,0.0,63.04347826086957,Below Average
2400,45,15,70,130,34.61538461538461,11.538461538461538,53.84615384615385,Below Average
1377,12,0,48,60,20.0,0.0,80.0,Below Average
